kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer11	intactk_noN	NA	299	169	0.723	0.277	0.485	0.515	219	84	80	85	991742	22884.2701895776	3083732	55332.5551871579	991744.5	16857.4496380117	3062765	9128.92215550601
kmer110	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22358	304.284727619696	NA	NA	22358	0.47401042522551
kmer1100	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25467	304.284727619696	NA	NA	25467	0.47401042522551	NA	NA
kmer1101	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26143	304.285809291802	NA	NA	26143	0.47401042522551
kmer1102	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25644	304.285809291802	NA	NA	25644	0.47401042522551	NA	NA
kmer1103	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25368	304.284727619696	NA	NA	25368	0.47401042522551	NA	NA
kmer1104	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23517	304.284727619696	NA	NA	23517	0.47401042522551	NA	NA
kmer1105	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22006	304.284727619696	NA	NA	22006	0.47401042522551	NA	NA
kmer1106	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26494	304.285809291802	NA	NA	26494	0.47401042522551	NA	NA
kmer1107	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	21484	0.212755238195914	NA	NA	21484	0.47401042522551	NA	NA
kmer1108	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	21943	304.284727619696	NA	NA	21943	0.47401042522551	NA	NA
kmer111	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26642	304.285809291802	NA	NA	26642	0.47401042522551
kmer1110	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24357	304.284727619696	NA	NA	24357	0.47401042522551
kmer1111	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26202	304.285809291802	NA	NA	26202	0.47401042522551	NA	NA
kmer1112	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24534	304.284727619696	NA	NA	24534	0.47401042522551	NA	NA
kmer1113	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25778	304.285809291802	NA	NA	25778	0.47401042522551	NA	NA
kmer1114	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23168	304.284727619696	NA	NA	23168	0.47401042522551	NA	NA
kmer1115	intactk_noN	NA	414	54	0.845	0.155	0.958	0.042	256	47	158	7	217977	446.2088530592	3858551	531875.512452113	217977	536.893182378814	3856861	39172.8695248322
kmer1116	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26571	304.285809291802	NA	NA	26571	0.47401042522551	NA	NA
kmer1117	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25080	304.284727619696	NA	NA	25080	0.47401042522551
kmer1118	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23592	304.284727619696	NA	NA	23592	0.47401042522551
kmer1119	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23286	304.284727619696	NA	NA	23286	0.47401042522551	NA	NA
kmer112	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22336	304.284727619696	NA	NA	22336	0.47401042522551	NA	NA
kmer1121	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22279	304.284727619696	NA	NA	22279	0.47401042522551
kmer1122	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26017	304.285809291802	NA	NA	26017	0.47401042522551
kmer1123	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25997	304.285809291802	NA	NA	25997	0.47401042522551	NA	NA
kmer1126	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22661	304.284727619696	NA	NA	22661	0.47401042522551	NA	NA
kmer1127	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21531	0.212755238195914	NA	NA	21531	0.47401042522551
kmer1128	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25481	304.284727619696	NA	NA	25481	0.47401042522551	NA	NA
kmer1129	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26176	304.285809291802	NA	NA	26176	0.47401042522551	NA	NA
kmer113	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25318	304.284727619696	NA	NA	25318	0.47401042522551	NA	NA
kmer1131	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24137	304.284727619696	NA	NA	24137	0.47401042522551	NA	NA
kmer1132	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22760	304.284727619696	NA	NA	22760	0.47401042522551	NA	NA
kmer1133	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22901	304.284727619696	NA	NA	22901	0.47401042522551	NA	NA
kmer1134	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22442	304.284727619696	NA	NA	22442	0.47401042522551	NA	NA
kmer1135	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26613	304.285809291802	NA	NA	26613	0.47401042522551
kmer1136	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25909	304.285809291802	NA	NA	25909	0.47401042522551	NA	NA
kmer1137	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26295	304.285809291802	NA	NA	26295	0.47401042522551	NA	NA
kmer1138	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25493	304.284727619696	NA	NA	25493	0.47401042522551	NA	NA
kmer1139	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26020	304.285809291802	NA	NA	26020	0.47401042522551	NA	NA
kmer114	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22895	304.284727619696	NA	NA	22895	0.47401042522551	NA	NA
